symbol,date,actual_change_pct,predicted_change_pct,correct_direction
ITC,2026-02-11 00:00:00+05:30,-0.25,1.55,0
ITC,2026-02-18 00:00:00+05:30,-1.94,0.19,0
ITC,2026-02-25 00:00:00+05:30,-0.45,0.39,0
ITC,2026-03-05 00:00:00+05:30,-0.58,-0.22,1
ITC,2026-03-12 00:00:00+05:30,-0.87,0.82,0
ITC,2026-03-19 00:00:00+05:30,0.65,0.0,1
ITC,2026-03-27 00:00:00+05:30,-2.38,-0.14,1
ITC,2026-04-07 00:00:00+05:30,1.34,0.42,1
ITC,2026-04-15 00:00:00+05:30,0.45,0.1,1
ITC,2026-04-22 00:00:00+05:30,-0.07,0.06,0
ITC,2026-04-29 00:00:00+05:30,-0.43,0.29,0
ITC,2026-05-07 00:00:00+05:30,0.02,0.44,1
ITC,2026-05-14 00:00:00+05:30,0.73,0.47,1
ITC,2026-05-21 00:00:00+05:30,-2.06,-0.01,1
ITC,2026-05-28 00:00:00+05:30,-1.73,-0.21,1
ITC,2026-06-05 00:00:00+05:30,-0.45,0.1,0
ITC,2026-06-12 00:00:00+05:30,0.98,0.42,1
ITC,2026-06-19 00:00:00+05:30,-0.43,0.22,0
ITC,2026-06-26 00:00:00+05:30,0.24,-0.1,0
ITC,2026-07-06 00:00:00+05:30,0.17,0.07,1
ITC,2026-07-13 00:00:00+05:30,-1.47,0.17,0
ITC,2026-07-20 00:00:00+05:30,-0.6,0.08,0
ITC,2026-07-27 00:00:00+05:30,-0.42,0.04,0
ITC,2026-08-03 00:00:00+05:30,0.7,-0.21,0
